0.000561315,-1.42065e-05,5,1.22e+08
0.000539832,-1.45047e-05,5,1.27e+08
0.000535788,-1.46828e-05,5,1.3e+08
0.000567028,-1.43128e-05,5,1.4e+08
0.000471536,-1.50011e-05,5,1.53e+08
0.000490525,-1.49591e-05,5,1.55e+08
0.000775014,-1.39051e-05,5,1.71e+08
0.0007424,-1.42752e-05,5,1.73e+08
0.00070036,-1.44539e-05,5,1.74e+08
0.000491496,-1.79832e-05,5,1.82e+08
7.77565e-05,-2.60076e-05,5,1.92e+08
2.45259e-05,-2.71131e-05,5,1.93e+08
-0.0006446,-5.30156e-05,5,2.12e+08
-0.000640742,-5.42304e-05,5,2.13e+08
-0.000495804,-6.66252e-05,5,2.26e+08
-0.000485543,-6.74297e-05,5,2.27e+08
-0.000483921,-6.82145e-05,5,2.28e+08
-0.000480908,-6.89922e-05,5,2.29e+08
-0.000499616,-7.56902e-05,5,2.38e+08
-0.000598806,-8.26812e-05,5,2.48e+08
-0.000594766,-8.33757e-05,5,2.49e+08
-0.000608667,-9.27703e-05,5,2.63e+08
-0.000684225,-9.87148e-05,5,2.72e+08
-0.000685936,-9.9382e-05,5,2.73e+08
-0.000822844,-0.000103779,5,2.8e+08
-0.000862114,-0.000104334,5,2.81e+08
-0.00118055,-0.000108974,5,2.91e+08
-0.00124438,-0.000109233,5,2.92e+08
-0.00138552,-0.000111344,5,3.09e+08
-0.00143515,-0.000111295,5,3.11e+08
-0.00145918,-0.000111259,5,3.12e+08
-0.00177484,-0.000108629,5,3.31e+08
-0.0017659,-0.000108531,5,3.32e+08
-0.00179204,-0.000110281,5,3.5e+08
-0.00177485,-0.000110673,5,3.51e+08
-0.00160444,-0.000126375,5,3.69e+08
-0.00165369,-0.000127595,5,3.7e+08
-0.00233382,-0.000152505,5,3.89e+08
-0.00234152,-0.000153819,5,3.9e+08
-0.00209737,-0.000180123,5,4.08e+08
-0.00207652,-0.000181869,5,4.09e+08
-0.00185821,-0.000201805,5,4.19e+08
-0.00149413,-0.000222116,5,4.27e+08
-0.00142376,-0.000225021,5,4.28e+08
-0.00101978,-0.000251077,5,4.36e+08
-0.000992849,-0.000289254,5,4.46e+08
-0.00100028,-0.000293288,5,4.47e+08
-0.00105264,-0.000330337,5,4.56e+08
-0.00111411,-0.000366712,5,4.65e+08
-0.0011227,-0.000370629,5,4.66e+08
-0.0011005,-0.000389886,5,4.71e+08
-0.000704527,-0.000437536,5,4.84e+08
-0.000693176,-0.000441045,5,4.85e+08
-0.000549209,-0.000501931,5,5.04e+08
-0.000491963,-0.000504853,5,5.05e+08
