-0.000561305,1.46077e-05,0.0149956,5,1.22e+08
-0.000539821,1.49018e-05,0.015,5,1.27e+08
-0.000535777,1.50769e-05,0.0149956,5,1.3e+08
-0.000567018,1.47298e-05,0.0149952,5,1.4e+08
-0.000471524,1.5358e-05,0.015,5,1.53e+08
-0.000490513,1.53304e-05,0.015,5,1.55e+08
-0.000775006,1.43469e-05,0.0149999,5,1.71e+08
-0.000742392,1.46906e-05,0.0150001,5,1.73e+08
-0.000700352,1.48438e-05,0.0149993,5,1.74e+08
-0.00049149,1.81576e-05,0.0150003,5,1.82e+08
-7.7756e-05,2.60091e-05,0.0150097,5,1.92e+08
-2.45264e-05,2.71126e-05,0.015012,5,1.93e+08
0.000644556,5.35435e-05,0.0151027,5,2.12e+08
0.000640695,5.47776e-05,0.0151091,5,2.13e+08
0.000495721,6.7237e-05,0.015204,5,2.26e+08
0.000485458,6.80404e-05,0.0152122,5,2.27e+08
0.000483834,6.88344e-05,0.0152206,5,2.28e+08
0.000480817,6.9619e-05,0.0152292,5,2.29e+08
0.000499504,7.64279e-05,0.0153128,5,2.38e+08
0.000598671,8.36508e-05,0.01542,5,2.48e+08
0.000594629,8.43458e-05,0.0154315,5,2.49e+08
0.000608503,9.38416e-05,0.0156089,5,2.63e+08
0.000684045,9.99563e-05,0.0157384,5,2.72e+08
0.000685754,0.00010063,0.0157536,5,2.73e+08
0.000822651,0.000105301,0.0158635,5,2.8e+08
0.000861919,0.000105931,0.0158798,5,2.81e+08
0.00118034,0.000111199,0.0160502,5,2.91e+08
0.00124417,0.000111581,0.016068,5,2.92e+08
0.0013853,0.000114007,0.0163929,5,3.09e+08
0.00143494,0.000114057,0.016434,5,3.11e+08
0.00145897,0.00011407,0.0164548,5,3.12e+08
0.00177462,0.000112098,0.0168776,5,3.31e+08
0.00176569,0.000111984,0.0169014,5,3.32e+08
0.00179181,0.000113811,0.0173539,5,3.5e+08
0.00177463,0.00011417,0.0173803,5,3.51e+08
0.00160419,0.000129527,0.0178831,5,3.69e+08
0.00165344,0.000130843,0.0179123,5,3.7e+08
0.00233351,0.000157122,0.0184898,5,3.89e+08
0.00234121,0.000158454,0.0185214,5,3.9e+08
0.00209701,0.000184294,0.0191169,5,4.08e+08
0.00207615,0.000185999,0.0191515,5,4.09e+08
0.0018578,0.000205489,0.019506,5,4.19e+08
0.00149369,0.000225058,0.0198015,5,4.27e+08
0.00142332,0.000227822,0.0198392,5,4.28e+08
0.00101929,0.00025306,0.0201478,5,4.36e+08
0.000992292,0.000291159,0.020549,5,4.46e+08
0.000999717,0.000295205,0.0205899,5,4.47e+08
0.00105201,0.000332332,0.0209657,5,4.56e+08
0.00111342,0.0003688,0.0213538,5,4.65e+08
0.00112201,0.00037273,0.0213977,5,4.66e+08
0.00109977,0.000391933,0.0216195,5,4.71e+08
0.000703722,0.000438829,0.0222143,5,4.84e+08
0.000692365,0.000442316,0.0222611,5,4.85e+08
0.000548298,0.000502927,0.0231756,5,5.04e+08
0.000491047,0.000505744,0.023225,5,5.05e+08
-0.000310679,0.000535886,0.0237782,5,5.16e+08
-0.000704963,0.000558361,0.0241911,5,5.24e+08
-0.000721471,0.00056121,0.0242433,5,5.25e+08
-0.00173163,0.000601155,0.024988,5,5.39e+08
-0.00209003,0.000613111,0.0252061,5,5.43e+08
-0.00217953,0.000616167,0.025261,5,5.44e+08
-0.00329903,0.00069694,0.0268053,5,5.71e+08
-0.00330245,0.00069913,0.0268649,5,5.72e+08
-0.00349257,0.000715842,0.027967,5,5.9e+08
-0.00351378,0.000715321,0.0280297,5,5.91e+08
-0.00360056,0.00071281,0.0282184,5,5.94e+08
-0.00389983,0.000679337,0.0291789,5,6.09e+08
-0.00391205,0.000675888,0.029244,5,6.1e+08
-0.00372557,0.000637714,0.0298357,5,6.19e+08
-0.0030023,0.00058508,0.0304421,5,6.28e+08
-0.00288693,0.00057816,0.0305107,5,6.29e+08
-0.00195174,0.000495706,0.0312099,5,6.39e+08
-0.00104384,0.000412313,0.0317882,5,6.47e+08
-0.000936469,0.000400813,0.0318618,5,6.48e+08
0.000425034,0.000231686,0.0328429,5,6.61e+08
0.000899622,0.000128434,0.0333904,5,6.68e+08
0.000977438,0.000113212,0.0334697,5,6.69e+08
0.00159233,-1.16112e-05,0.0341133,5,6.77e+08
0.00196728,-0.000170916,0.0349418,5,6.87e+08
0.00194651,-0.000186715,0.0350261,5,6.88e+08
0.00135948,-0.000445989,0.0365829,5,7.06e+08
0.00133328,-0.000458406,0.0366714,5,7.07e+08
0.00118052,-0.000596124,0.0378391,5,7.2e+08
0.000963788,-0.000637126,0.038297,5,7.25e+08
0.000895707,-0.000644499,0.0383892,5,7.26e+08
0.000377927,-0.000693118,0.0391345,5,7.34e+08
-0.000162546,-0.000734244,0.0403744,5,7.47e+08
-0.000196761,-0.000735623,0.0404712,5,7.48e+08
-0.000236564,-0.000739158,0.0411538,5,7.55e+08
3.71584e-05,-0.000727294,0.0422457,5,7.66e+08
0.000125847,-0.0007255,0.0423461,5,7.67e+08
0.0015055,-0.000686802,0.0443881,5,7.87e+08
0.00155093,-0.000685106,0.0444916,5,7.88e+08
0.00200634,-0.000668865,0.0456383,5,7.99e+08
0.00242253,-0.000659249,0.0464824,5,8.07e+08
0.00246794,-0.000658151,0.0465885,5,8.08e+08
0.00330096,-0.000639799,0.0485229,5,8.26e+08
0.00331612,-0.000638714,0.0486318,5,8.27e+08
0.00277644,-0.00060689,0.0506195,5,8.45e+08
0.00273202,-0.000603937,0.0507316,5,8.46e+08
